CO,NO2,O3,PM10,PM2.5,SO2,label
0.79,16.0,37.0,177.0,78.0,12.0,3
0.8,16.0,36.0,178.0,77.0,11.0,3
0.71,13.0,38.0,163.0,72.0,8.0,3
0.66,11.0,39.0,147.0,65.0,6.5,2
0.53,10.0,38.0,131.0,56.0,5.5,2
0.5,11.0,37.0,112.0,46.0,5.7,2
0.57,18.0,29.0,103.0,45.0,5.8,2
0.61,17.0,27.0,104.0,42.0,6.5,2
0.59,15.0,29.0,111.0,45.0,6.8,2
0.6,16.0,29.0,111.0,46.0,5.9,2
0.55,14.0,35.0,100.0,41.0,5.2,1
0.51,13.0,39.0,92.0,38.0,4.5,1
0.47,12.0,41.0,83.0,36.0,3.7,1
0.42,10.0,43.0,76.0,31.0,3.3,1
0.41,12.0,39.0,73.0,25.0,3.0,1
0.42,13.0,36.0,66.0,25.0,3.0,1
0.45,14.0,33.0,61.0,24.0,3.2,1
0.46,16.0,31.0,57.0,20.0,3.0,1
0.45,18.0,29.0,50.0,22.0,3.2,0
0.48,21.0,24.0,45.0,20.0,3.3,0
0.52,23.0,20.0,45.0,19.0,2.4,0
0.43,19.0,22.0,43.0,19.0,2.3,0
0.4,17.0,23.0,40.0,17.0,2.2,0
0.35,14.0,26.0,42.0,14.0,2.2,0
0.3,9.8,31.0,42.0,12.0,1.6,0
0.26,7.4,35.0,38.0,12.0,1.5,0
0.24,6.0,36.0,35.0,17.0,1.6,0
0.23,5.0,37.0,37.0,21.0,1.6,0
0.25,6.1,35.0,37.0,20.0,1.7,0
0.29,8.8,31.0,37.0,18.0,1.5,0
0.31,14.0,25.0,39.0,19.0,1.5,0
0.46,19.0,20.0,43.0,21.0,1.6,0
0.41,17.0,24.0,46.0,19.0,1.6,0
0.37,13.0,28.0,46.0,15.0,1.6,0
0.33,9.2,33.0,48.0,20.0,1.5,0
0.32,9.8,34.0,48.0,24.0,1.6,0
0.34,9.7,35.0,43.0,15.0,1.5,0
0.31,8.6,38.0,42.0,13.0,1.6,0
0.33,11.0,36.0,45.0,17.0,1.6,0
0.34,12.0,34.0,43.0,15.0,1.5,0
0.38,15.0,30.0,38.0,20.0,1.4,0
0.48,20.0,25.0,39.0,20.0,1.5,0
0.52,22.0,23.0,37.0,15.0,1.4,0
0.46,21.0,24.0,33.0,15.0,1.5,0
0.45,20.0,23.0,29.0,15.0,1.4,0
0.45,21.0,24.0,28.0,14.0,1.4,0
0.44,19.0,24.0,29.0,14.0,1.3,0
0.38,16.0,27.0,29.0,11.0,1.2,0
0.33,12.0,31.0,27.0,11.0,1.3,0
0.29,9.1,33.0,26.0,12.0,2.0,0
0.24,8.3,34.0,22.0,6.0,2.2,0
0.19,6.6,36.0,21.0,6.0,1.8,0
0.21,6.5,35.0,24.0,6.0,1.7,0
0.2,6.8,37.0,22.0,9.0,1.8,0
0.24,11.0,32.0,22.0,11.0,1.6,0
0.42,17.0,27.0,27.0,10.0,1.8,0
0.42,17.0,27.0,28.0,12.0,2.0,0
0.45,18.0,27.0,29.0,12.0,2.0,0
0.41,16.0,29.0,32.0,11.0,2.1,0
0.37,14.0,33.0,27.0,10.0,2.0,0
0.34,11.0,39.0,23.0,7.0,2.1,0
0.37,13.0,38.0,26.0,12.0,2.0,0
0.4,15.0,35.0,27.0,16.0,2.1,0
0.46,20.0,28.0,29.0,15.0,2.0,0
0.54,23.0,23.0,29.0,15.0,2.3,0
0.89,35.0,11.0,33.0,20.0,2.4,0
0.88,33.0,11.0,38.0,21.0,2.3,0
1.02,37.0,6.9,37.0,17.0,2.6,0
0.91,35.0,6.6,37.0,15.0,2.7,0
0.73,29.0,9.1,32.0,18.0,2.4,0
0.91,31.0,6.1,28.0,12.0,2.5,0
1.38,31.0,1.2,44.0,19.0,5.3,0
1.04,29.0,1.0,59.0,31.0,4.7,1
0.79,28.0,0.7,54.0,34.0,2.9,1
0.78,26.0,0.6,53.0,37.0,2.7,1
0.78,23.0,0.5,50.0,36.0,2.5,0
0.8,24.0,0.8,46.0,31.0,2.6,0
0.76,23.0,0.8,51.0,34.0,3.2,1
0.87,23.0,0.7,56.0,38.0,3.4,1
1.04,23.0,2.1,60.0,36.0,4.5,1
1.27,32.0,5.5,67.0,40.0,4.6,1
1.28,41.0,15.0,71.0,44.0,3.8,1
1.24,41.0,29.0,78.0,46.0,3.7,1
0.82,22.0,50.0,71.0,44.0,2.3,1
0.61,18.0,62.0,56.0,36.0,3.1,1
0.6,21.0,55.0,71.0,41.0,4.8,1
0.61,23.0,59.0,89.0,52.0,5.3,1
0.63,24.0,56.0,89.0,52.0,5.4,1
0.66,28.0,49.0,89.0,48.0,5.3,1
1.03,38.0,29.0,90.0,48.0,4.5,1
1.66,55.0,8.3,94.0,56.0,3.8,1
1.55,50.0,9.1,93.0,57.0,2.7,1
1.98,54.0,1.0,94.0,53.0,3.6,1
2.11,47.0,1.0,98.0,57.0,4.1,1
2.43,45.0,1.2,95.0,57.0,3.8,1
1.06,29.0,2.6,68.0,39.0,2.1,1
1.07,28.0,2.6,44.0,27.0,2.1,0
1.89,32.0,0.9,64.0,43.0,3.4,1
1.69,32.0,0.7,78.0,50.0,3.5,1
1.32,26.0,0.6,70.0,45.0,3.1,1
1.34,27.0,0.7,66.0,46.0,3.0,1
1.34,24.0,0.9,67.0,46.0,3.3,1
1.26,26.0,0.9,65.0,42.0,3.7,1
1.73,27.0,1.9,65.0,41.0,5.2,1
1.59,33.0,3.9,68.0,44.0,8.2,1
1.91,54.0,9.8,77.0,52.0,7.5,1
1.5,54.0,20.0,84.0,57.0,6.6,1
1.06,45.0,30.0,67.0,37.0,4.1,1
1.01,48.0,10.0,89.0,42.0,6.2,1
